,message,risk_level,rl
0,Warning: File not found,low,1
1,Error: Division by zero,high,3
2,Warning: Deprecated function used,medium,2
3,Error: Out of memory,high,3
4,Warning: Unused variable 'x',low,1
5,Error: Invalid command,medium,2
6,Warning: Possible null pointer dereference,medium,2
7,Error: Disk full,high,3
8,Warning: Function 'foo' is not defined,low,1
9,Error: Connection timed out,high,3
10,Warning: Insecure password detected,medium,2
11,Error: Syntax error in line 42,high,3
12,Warning: Variable 'x' uninitialized,low,1
13,Error: Database connection failed,high,3
14,Warning: Unreachable code detected,low,1
15,Error: Unable to open output file,medium,2
16,Warning: Function 'bar' is deprecated,low,1
17,Error: Stack overflow,high,3
18,Warning: Unused import statement,low,1
19,Error: Invalid input format,medium,2
20,Warning: Potential memory leak,medium,2
21,Error: Network unreachable,high,3
22,Warning: Unrecognized command-line option,low,1
23,Error: File permission denied,high,3
24,Warning: Variable 'x' is never used,low,1
25,Error: Database query failed,medium,2
26,Warning: Empty catch block,medium,2
27,Error: Invalid file format,high,3
28,Warning: Implicit conversion from 'float' to 'int',low,1
29,Error: Missing required argument,medium,2
30,Warning: Invalid escape sequence,low,1
31,Error: Disk space full,high,3
32,Warning: Possible buffer overflow,medium,2
33,Error: Database connection lost,high,3
34,Warning: Unreachable code detected,low,1
35,Error: Unable to read configuration file,medium,2
36,Warning: Function 'baz' is deprecated,low,1
37,Error: Integer overflow,high,3
38,Warning: Unused variable 'y',low,1
39,Error: Network connection reset,high,3
40,Warning: Inconsistent line endings,medium,2
41,Error: Invalid input value,high,3
42,Warning: Function 'qux' is not defined,low,1
43,Error: Out of disk space,high,3
44,Warning: Possible null pointer assignment,medium,2
45,Error: Invalid data type,high,3
46,Warning: Variable 'y' uninitialized,low,1
47,Error: Database connection timeout,high,3
48,Warning: Unreachable code detected,low,1
49,Error: Unable to locate shared library,medium,2
50,Warning: Unused function 'quux',low,1
51,Error: Floating-point overflow,high,3
52,Warning: Insecure network connection,medium,2
53,Error: Stack underflow,high,3
54,Warning: Redundant parentheses,low,1
55,Error: Unable to write to output file,medium,2
56,Warning: Function 'foobar' is deprecated,low,1
57,Error: Memory allocation failed,high,3
58,Warning: Unused import statement,low,1
59,Error: Invalid user input,high,3
60,Warning: Potential resource leak,medium,2
61,Error: Network connection refused,high,3
62,Warning: Unrecognized command-line argument,low,1
63,Error: Insufficient file permissions,high,3
64,Warning: Variable 'y' is never used,low,1
65,Error: Database query timeout,medium,2
66,Warning: Empty finally block,medium,2
67,Error: Invalid file path,high,3
68,Warning: Implicit conversion from 'int' to 'float',low,1
69,Error: Missing required parameter,medium,2
70,Warning: Invalid character encoding,low,1
71,Error: Disk quota exceeded,high,3
72,Warning: Possible integer overflow,medium,2
73,Error: Database connection terminated,high,3
74,Warning: Unreachable code detected,low,1
75,Error: Unable to parse configuration file,medium,2
76,Warning: Function 'qux' is deprecated,low,1
77,Error: Division by negative number,high,3
78,Warning: Unused variable 'z',low,1
79,Error: Network connection error,high,3
80,Warning: Inconsistent indentation,medium,2
81,Error: Invalid input format,high,3
82,Warning: Function 'baz' is not defined,low,1
83,Error: Disk read error,high,3
84,Warning: Possible memory leak,medium,2
85,Error: Invalid URL,high,3
86,Warning: Unused parameter 'param',low,1
87,Error: Out of swap space,high,3
88,Warning: Possible buffer underflow,medium,2
89,Error: Database connection aborted,high,3
90,Warning: Unreachable code detected,low,1
91,Error: Unable to find configuration file,medium,2
92,Warning: Unused function 'quux',low,1
93,Error: Floating-point underflow,high,3
94,Warning: Insecure file permissions,medium,2
95,Error: Stack overflow detected,high,3
96,Warning: Redundant semicolon,low,1
97,Error: Unable to delete file,medium,2
98,Warning: Function 'foobar' is deprecated,low,1
99,Error: Insufficient memory,high,3
100,Warning: Unused import statement,low,1
101,Error: Invalid input data,high,3
102,Warning: Potential security vulnerability,medium,2
103,Error: Network connection timeout,high,3
104,Warning: Unrecognized command-line option,low,1
105,Error: Insufficient disk space,high,3
106,Warning: Variable 'z' is never used,low,1
107,Error: Database query execution failed,medium,2
108,Warning: Empty try block,medium,2
109,Error: Invalid file extension,high,3
110,Warning: Implicit conversion from 'double' to 'float',low,1
111,Error: Missing required argument,medium,2
112,Warning: Invalid escape sequence,low,1
113,Error: Disk write error,high,3
114,Warning: Possible buffer overflow,medium,2
115,Error: Database transaction aborted,high,3
116,Warning: Unreachable code detected,low,1
117,Error: Unable to load plugin,medium,2
118,Warning: Unused function 'quux',low,1
119,Error: Floating-point NaN detected,high,3
120,Warning: Insecure communication protocol,medium,2
121,Error: Stack underflow detected,high,3
122,Warning: Redundant code block,low,1
123,Error: Unable to create directory,medium,2
124,Warning: Function 'foobar' is deprecated,low,1
125,Error: Division by zero encountered,high,3
126,Warning: Inconsistent variable naming,medium,2
127,Error: Invalid input value,high,3
128,Warning: Function 'qux' is not defined,low,1
129,Error: Out of disk space,high,3
130,Warning: Possible null pointer assignment,medium,2
131,Error: Invalid data format,high,3
132,Warning: Variable 'z' uninitialized,low,1
133,Error: Database connection lost,high,3
134,Warning: Unreachable code detected,low,1
135,Error: Unable to find configuration file,medium,2
136,Warning: Unused function 'quux',low,1
137,Error: Floating-point infinity detected,high,3
138,Warning: Insecure cryptographic algorithm,medium,2
139,Error: Stack overflow encountered,high,3
140,Warning: Redundant import statement,low,1
141,Error: Unable to open input file,medium,2
142,Warning: Function 'foobar' is deprecated,low,1
143,Error: Memory allocation error,high,3
144,Warning: Unused import statement,low,1
145,Error: Invalid user input,high,3
146,Warning: Potential resource exhaustion,medium,2
147,Error: Network connection refused,high,3
148,Warning: Unrecognized command-line argument,low,1
149,Error: Insufficient file permissions,high,3
150,Warning: Variable 'z' is never used,low,1
151,Error: Database query timeout,medium,2
152,Warning: Empty finally block,medium,2
153,Error: Invalid file path,high,3
154,Warning: Implicit conversion from 'int' to 'double',low,1
155,Error: Missing required parameter,medium,2
156,Warning: Invalid character encoding,low,1
157,Error: Disk quota exceeded,high,3
158,Warning: Possible integer overflow,medium,2
159,Error: Database connection terminated,high,3
160,Warning: Unreachable code detected,low,1
161,Error: Unable to parse configuration file,medium,2
162,Warning: Function 'qux' is deprecated,low,1
163,Error: Division by negative number,high,3
164,Warning: Unused variable 'z',low,1
165,Error: Network connection error,high,3
166,Warning: Inconsistent indentation,medium,2
167,Error: Invalid input format,high,3
